tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
111,20.27,20.27,20.3,20.32,20.28,20.3,20.32,-5000.0,20.14,-0.16,-4225.0
111,20.27,20.27,20.3,20.32,20.28,20.3,20.32,-5000.0,20.14,-0.16,-4225.0
111,20.27,20.27,20.3,20.32,20.28,20.3,20.32,-5000.0,20.14,-0.16,-4225.0
111,20.27,20.27,20.3,20.32,20.28,20.3,20.32,-5000.0,20.14,-0.16,-4225.0
111,20.27,20.27,20.3,20.32,20.28,20.3,20.32,-5000.0,20.14,-0.16,-4225.0
111,20.32,20.27,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
111,20.32,20.27,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
112,20.32,20.29,20.3,20.32,20.28,20.3,20.32,0.0,0.0,0.0,-5175.0
